M_SITIO;M_FECHA_DIA;FIESTA;PAYLOAD_4G;THROUGHPUT_4G;OBJETIVOCOBERTURA_Mixta Rural-Carretera;OBJETIVOCOBERTURA_Mixta Urbana-Carretera;OBJETIVOCOBERTURA_Rural;OBJETIVOCOBERTURA_Urbana;TIPO_Calidad;TIPO_Cobertura;TIPO_Reubicacion;TIPO_Trafico
d5a15865-7b2e-4261-af83-2117ec105843;21/02/2021;0;492.4;11765.22;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;22/02/2021;0;440.0;11146.03;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;23/02/2021;0;432.3;10215.71;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;24/02/2021;0;478.58;11256.29;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;25/02/2021;0;464.49;11037.07;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;26/02/2021;0;537.51;11526.39;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;27/02/2021;0;507.71;11907.91;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;28/02/2021;0;435.73;11553.31;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;1/03/2021;0;447.24;10929.85;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;2/03/2021;0;443.13;11016.1;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;3/03/2021;0;519.99;10927.53;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;4/03/2021;0;468.69;10803.34;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;5/03/2021;0;452.46;10684.76;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;6/03/2021;0;466.98;11243.94;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;7/03/2021;0;479.71;11814.48;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;8/03/2021;0;456.29;11432.51;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;9/03/2021;0;464.26;11108.85;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;10/03/2021;0;447.97;10898.97;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;11/03/2021;0;485.63;10890.18;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;12/03/2021;0;469.54;11118.65;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;13/03/2021;0;467.97;11404.28;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;14/03/2021;0;460.18;11690.79;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;15/03/2021;0;414.14;10913.67;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;16/03/2021;0;443.16;10830.65;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;17/03/2021;0;502.24;10994.91;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;18/03/2021;0;500.34;11181.44;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;19/03/2021;0;451.39;10923.65;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;20/03/2021;0;448.15;11070.09;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;21/03/2021;0;437.48;11133.0;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;22/03/2021;0;421.53;11246.93;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;23/03/2021;0;431.51;10848.11;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;24/03/2021;0;433.73;10564.78;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;25/03/2021;0;388.34;11106.18;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;26/03/2021;0;377.64;9095.45;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;27/03/2021;0;384.14;8817.84;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;28/03/2021;0;407.11;9436.2;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;29/03/2021;0;380.58;9986.27;False;False;True;False;False;False;False;True
