"M_FECHA_DIA","PAYLOAD_4G","FIESTA","PAYLOAD_4G_smoo_mean","PAYLOAD_4G_smoothed","year"
2021-02-12,638.75,0,638.75,638.75,2021
2021-02-13,682.22,0,682.22,682.22,2021
2021-02-14,613.62,0,613.62,613.62,2021
2021-02-15,638.12,0,638.12,638.12,2021
2021-02-16,651.06,0,651.06,651.06,2021
2021-02-17,646.5,0,646.5,646.5,2021
2021-02-18,595.45,0,595.45,595.45,2021
2021-02-19,588.72,0,588.72,588.72,2021
2021-02-20,643.66,0,643.66,643.66,2021
2021-02-21,632.38,0,632.38,632.38,2021
2021-02-22,569.45,0,569.45,569.45,2021
2021-02-23,557.01,0,557.01,557.01,2021
2021-02-24,606.71,0,606.71,606.71,2021
2021-02-25,654.19,0,654.19,654.19,2021
2021-02-26,716.44,0,716.44,716.44,2021
2021-02-27,710.35,0,710.35,710.35,2021
2021-02-28,631.06,0,631.06,631.06,2021
2021-03-01,626.13,0,626.13,626.13,2021
2021-03-02,619.79,0,619.79,619.79,2021
2021-03-03,598.78,0,598.78,598.78,2021
2021-03-04,620.82,0,620.82,620.82,2021
2021-03-05,654.73,0,654.73,654.73,2021
2021-03-06,689.21,0,689.21,689.21,2021
2021-03-07,624.58,0,624.58,624.58,2021
2021-03-08,667.79,0,667.79,667.79,2021
2021-03-09,652.09,0,652.09,652.09,2021
2021-03-10,649.01,0,649.01,649.01,2021
2021-03-11,648.22,0,648.22,648.22,2021
2021-03-12,645.47,0,645.47,645.47,2021
2021-03-13,724.68,0,724.68,724.68,2021
2021-03-14,633.04,0,633.04,633.04,2021
2021-03-15,634.26,0,634.26,634.26,2021
2021-03-16,672.58,0,672.58,672.58,2021
2021-03-17,712.86,0,712.86,712.86,2021
2021-03-18,700.02,0,700.02,700.02,2021
2021-03-19,727.58,0,727.58,727.58,2021
2021-03-20,803.6,0,803.6,803.6,2021
2021-03-21,791.88,0,791.88,791.88,2021
2021-03-22,491.93,0,491.93,491.93,2021
2021-03-23,685.78,0,685.78,685.78,2021
2021-03-24,631.83,0,631.83,631.83,2021
2021-03-25,637.46,0,637.46,637.46,2021
2021-03-26,709.28,0,709.28,709.28,2021
2021-03-27,782,0,782,782,2021
2021-03-28,720.02,0,720.02,720.02,2021
2021-03-29,703.2,0,703.2,703.2,2021
2021-03-30,751.04,0,751.04,751.04,2021
2021-03-31,774.08,0,774.08,774.08,2021
2021-04-01,734.44,0,734.44,734.44,2021
2021-04-02,709.99,0,709.99,709.99,2021
2021-04-03,784.4,0,784.4,784.4,2021
2021-04-04,705.65,0,705.65,705.65,2021
2021-04-05,668.61,0,668.61,668.61,2021
2021-04-06,672.01,0,672.01,672.01,2021
2021-04-07,648.84,0,648.84,648.84,2021
2021-04-08,664.27,0,664.27,664.27,2021
2021-04-09,656.36,0,656.36,656.36,2021
2021-04-10,725.72,0,725.72,725.72,2021
2021-04-11,642.63,0,642.63,642.63,2021
2021-04-12,682.55,0,682.55,682.55,2021
2021-04-13,665.11,0,665.11,665.11,2021
2021-04-14,685.65,0,685.65,685.65,2021
2021-04-15,730.83,0,730.83,730.83,2021
2021-04-16,738.3,0,738.3,738.3,2021
2021-04-17,742.61,0,742.61,742.61,2021
2021-04-18,702.64,0,702.64,702.64,2021
2021-04-19,712.84,0,712.84,712.84,2021
2021-04-20,711.87,0,711.87,711.87,2021
2021-04-21,690.67,0,690.67,690.67,2021
2021-04-22,726.56,0,726.56,726.56,2021
2021-04-23,780.06,0,780.06,780.06,2021
2021-04-24,775.84,0,775.84,775.84,2021
2021-04-25,691.69,0,691.69,691.69,2021
2021-04-26,728.88,0,728.88,728.88,2021
2021-04-27,725.93,0,725.93,725.93,2021
2021-04-28,744.65,0,744.65,744.65,2021
2021-04-29,537.6,0,726.118666666667,741.13,2021
2021-04-30,746.57,0,746.57,746.57,2021
2021-05-01,741.95,0,741.95,741.95,2021
2021-05-02,709.9,0,709.9,709.9,2021
2021-05-03,738.19,0,738.19,738.19,2021
2021-05-04,741.13,0,741.13,741.13,2021
2021-05-05,748.43,0,748.43,748.43,2021
2021-05-06,754.4,0,754.4,754.4,2021
2021-05-07,755.44,0,755.44,755.44,2021
2021-05-08,727.28,0,727.28,727.28,2021
2021-05-09,722.03,0,722.03,722.03,2021
2021-05-10,714.66,0,714.66,714.66,2021
2021-05-11,740.29,0,740.29,740.29,2021
2021-05-12,718.89,0,718.89,718.89,2021
2021-05-13,712.78,0,712.78,712.78,2021
2021-05-14,766.22,0,766.22,766.22,2021
2021-05-15,804.01,0,804.01,804.01,2021
2021-05-16,792.75,0,792.75,792.75,2021
2021-05-17,732.89,0,732.89,732.89,2021
2021-05-18,761.25,0,761.25,761.25,2021
2021-05-19,744.11,0,744.11,744.11,2021
2021-05-20,769.35,0,769.35,769.35,2021
2021-05-21,682,0,682,682,2021
2021-05-22,806.9,0,806.9,806.9,2021
2021-05-23,732.65,0,732.65,732.65,2021
2021-05-24,737,0,737,737,2021
2021-05-25,800.89,0,800.89,800.89,2021
2021-05-26,780.75,0,780.75,780.75,2021
2021-05-27,779.42,0,779.42,779.42,2021
2021-05-28,823.26,0,823.26,823.26,2021
2021-05-29,838.75,0,838.75,838.75,2021
2021-05-30,784.71,0,784.71,784.71,2021
2021-05-31,754.81,0,754.81,754.81,2021
2021-06-01,714.02,0,714.02,714.02,2021
2021-06-02,765.79,0,765.79,765.79,2021
2021-06-03,797.21,0,797.21,797.21,2021
2021-06-04,818.66,0,818.66,818.66,2021
2021-06-05,852.63,0,852.63,852.63,2021
2021-06-06,827.54,0,827.54,827.54,2021
2021-06-07,784.15,0,784.15,784.15,2021
2021-06-08,767.47,0,767.47,767.47,2021
2021-06-09,778.88,0,778.88,778.88,2021
2021-06-10,766.35,0,766.35,766.35,2021
2021-06-11,821.94,0,821.94,821.94,2021
2021-06-12,819.36,0,819.36,819.36,2021
2021-06-13,829.73,0,829.73,829.73,2021
2021-06-14,780.48,0,780.48,780.48,2021
2021-06-15,716.77,0,716.77,716.77,2021
2021-06-16,740.94,0,740.94,740.94,2021
2021-06-17,789.62,0,789.62,789.62,2021
2021-06-18,789.98,0,789.98,789.98,2021
2021-06-19,817.14,0,817.14,817.14,2021
2021-06-20,782.99,0,782.99,782.99,2021
2021-06-21,761.57,0,761.57,761.57,2021
2021-06-22,789.84,0,789.84,789.84,2021
2021-06-23,816.18,0,816.18,816.18,2021
2021-06-24,777.34,0,777.34,777.34,2021
2021-06-25,846.04,0,846.04,846.04,2021
2021-06-26,672.05,0,672.05,672.05,2021
2021-06-27,723.56,0,723.56,723.56,2021
2021-06-28,747.9,0,747.9,747.9,2021
2021-06-29,593.58,0,593.58,593.58,2021
2021-06-30,707.01,0,707.01,707.01,2021
2021-07-01,657.23,0,657.23,657.23,2021
2021-07-02,600.78,0,600.78,600.78,2021
2021-07-03,616.92,0,616.92,616.92,2021
2021-07-04,579.25,0,579.25,579.25,2021
2021-07-05,530.31,0,530.31,530.31,2021
2021-07-06,571.96,0,571.96,571.96,2021
2021-07-07,550.12,0,550.12,550.12,2021
2021-07-08,570.36,0,570.36,570.36,2021
2021-07-09,599.12,0,599.12,599.12,2021
2021-07-10,627.3,0,627.3,627.3,2021
2021-07-11,702.76,0,702.76,702.76,2021
2021-07-12,603.67,0,603.67,603.67,2021
2021-07-13,624.92,0,624.92,624.92,2021
2021-07-14,539.61,0,539.61,539.61,2021
2021-07-15,576.63,0,576.63,576.63,2021
2021-07-16,573.48,0,573.48,573.48,2021
2021-07-17,548.3,0,548.3,548.3,2021
2021-07-18,661.98,0,661.98,661.98,2021
2021-07-19,597.25,0,597.25,597.25,2021
2021-07-20,557.37,0,557.37,557.37,2021
2021-07-21,647.19,0,647.19,647.19,2021
2021-07-22,699.16,0,699.16,699.16,2021
2021-07-23,838.58,0,838.58,838.58,2021
2021-07-24,860.33,0,860.33,860.33,2021
2021-07-25,808.16,0,808.16,808.16,2021
2021-07-26,833.11,0,833.11,833.11,2021
2021-07-27,837.1,0,837.1,837.1,2021
2021-07-28,837.74,0,837.74,837.74,2021
2021-07-29,831.84,0,831.84,831.84,2021
2021-07-30,828.55,0,828.55,828.55,2021
2021-07-31,851.13,0,851.13,851.13,2021
2021-08-01,814.7,0,814.7,814.7,2021
2021-08-02,747.08,0,825.127333333333,832.75,2021
2021-08-03,802.82,0,802.82,802.82,2021
2021-08-04,835.31,0,835.31,835.31,2021
2021-08-05,826.51,0,826.51,826.51,2021
2021-08-06,839.09,0,839.09,839.09,2021
2021-08-07,857.45,0,857.45,857.45,2021
2021-08-08,801.73,0,801.73,801.73,2021
2021-08-09,832.75,0,832.75,832.75,2021
2021-08-10,819.65,0,819.65,819.65,2021
2021-08-11,813.56,0,813.56,813.56,2021
2021-08-12,791.53,0,791.53,791.53,2021
2021-08-13,843.19,0,843.19,843.19,2021
2021-08-14,884.21,0,884.21,884.21,2021
2021-08-15,398.17,0,760.033333333333,814.09,2021
2021-08-16,450.52,0,763.322,819.65,2021
2021-08-17,675.14,0,675.14,675.14,2021
2021-08-18,741.8,0,741.8,741.8,2021
2021-08-19,814.09,0,814.09,814.09,2021
2021-08-20,863.6,0,863.6,863.6,2021
2021-08-21,845.73,0,845.73,845.73,2021
2021-08-22,824.83,0,824.83,824.83,2021
2021-08-23,851.06,0,851.06,851.06,2021
2021-08-24,798.6,0,798.6,798.6,2021
2021-08-25,831.68,0,831.68,831.68,2021
2021-08-26,858.31,0,858.31,858.31,2021
2021-08-27,869.4,0,869.4,869.4,2021
2021-08-28,360.46,0,809.300666666667,845.73,2021
2021-08-29,850.14,0,850.14,850.14,2021
2021-08-30,822.69,0,822.69,822.69,2021
2021-08-31,823.38,0,823.38,823.38,2021
2021-09-01,805.77,0,805.77,805.77,2021
2021-09-02,854.18,0,854.18,854.18,2021
2021-09-03,885.16,0,885.16,885.16,2021
2021-09-04,858.12,0,858.12,858.12,2021
2021-09-05,843.92,0,843.92,843.92,2021
2021-09-06,829.49,0,829.49,829.49,2021
2021-09-07,854.79,0,854.79,854.79,2021
2021-09-08,851.78,0,851.78,851.78,2021
2021-09-09,863.8,0,863.8,863.8,2021
2021-09-10,893.16,0,893.16,893.16,2021
2021-09-11,909.12,0,909.12,909.12,2021
2021-09-12,848.53,0,848.53,848.53,2021
2021-09-13,852.08,0,852.08,852.08,2021
2021-09-14,849.98,0,849.98,849.98,2021
2021-09-15,836.8,0,836.8,836.8,2021
2021-09-16,873.64,0,873.64,873.64,2021
2021-09-17,891.66,0,891.66,891.66,2021
2021-09-18,915.85,0,915.85,915.85,2021
2021-09-19,867.43,0,867.43,867.43,2021
2021-09-20,853.56,0,853.56,853.56,2021
2021-09-21,849.35,0,849.35,849.35,2021
2021-09-22,841.84,0,841.84,841.84,2021
2021-09-23,859.59,0,859.59,859.59,2021
2021-09-24,869.38,0,869.38,869.38,2021
2021-09-25,902.15,0,902.15,902.15,2021
2021-09-26,901.04,0,901.04,901.04,2021
2021-09-27,861.13,0,861.13,861.13,2021
2021-09-28,872.83,0,872.83,872.83,2021
2021-09-29,890.6,0,890.6,890.6,2021
2021-09-30,898.72,0,898.72,898.72,2021
2021-10-01,860.03,0,860.03,860.03,2021
2021-10-02,917.5,0,917.5,917.5,2021
2021-10-03,903.71,0,903.71,903.71,2021
2021-10-04,777.66,0,777.66,777.66,2021
2021-10-05,841.53,0,841.53,841.53,2021
2021-10-06,880.28,0,880.28,880.28,2021
2021-10-07,875.94,0,875.94,875.94,2021
2021-10-08,890.1,0,890.1,890.1,2021
2021-10-09,906.13,0,906.13,906.13,2021
2021-10-10,892.64,0,892.64,892.64,2021
2021-10-11,816.56,0,816.56,816.56,2021
2021-10-12,884.76,0,884.76,884.76,2021
2021-10-13,855.34,0,855.34,855.34,2021
2021-10-14,903.4,1,903.4,903.4,2021
2021-10-15,918.13,1,918.13,918.13,2021
2021-10-16,958.49,1,958.49,958.49,2021
2021-10-17,965.45,1,965.45,965.45,2021
2021-10-18,942.11,1,942.11,942.11,2021
2021-10-19,904.48,0,904.48,904.48,2021
2021-10-20,887.25,0,887.25,887.25,2021
2021-10-21,867.96,0,867.96,867.96,2021
2021-10-22,907.31,0,907.31,907.31,2021
2021-10-23,902.09,0,902.09,902.09,2021
2021-10-24,876.3,0,876.3,876.3,2021
2021-10-25,894.94,0,894.94,894.94,2021
2021-10-26,886.18,0,886.18,886.18,2021
2021-10-27,892.56,0,892.56,892.56,2021
2021-10-28,860.29,0,860.29,860.29,2021
2021-10-29,841.66,0,841.66,841.66,2021
2021-10-30,938.25,0,938.25,938.25,2021
2021-10-31,966.03,0,966.03,966.03,2021
2021-11-01,912.26,0,912.26,912.26,2021
2021-11-02,898.09,0,898.09,898.09,2021
2021-11-03,909.85,0,909.85,909.85,2021
2021-11-04,900.73,0,900.73,900.73,2021
2021-11-05,906.53,0,906.53,906.53,2021
